Profundidade [m],COT [%],S1 [mg HC/g rocha],S2 [mg HC/g rocha],S3 [mg CO2/g rocha],Tmáx [°C],IH [mg HC/g COT,IO [mg CO2/g COT],Ro [%]
4977,2.32,0.99,4.1,3.54,444,176.7241,152.5862,-99999
4980,2.43,1.02,4.63,3.11,443,190.535,127.9835,-99999
4983,2.67,1.15,5.92,2.06,443,221.7228,77.1535,-99999
4986,2.43,1.11,4.84,2.2,443,199.177,90.535,-99999
4989,2.66,1.36,5.42,2.15,445,203.7594,80.8271,-99999
4992,2.81,1.05,5.14,1.64,443,182.9181,58.363,-99999
4995,2.75,1.29,5.01,2.17,443,182.1818,78.9091,-99999
4998,3,1.38,5.6,1.69,444,186.6667,56.3333,-99999
5001,2.79,1.09,4.91,2.42,444,175.9857,86.7384,-99999
5004,2.87,1.19,4.69,3.25,445,163.4146,113.2404,-99999
5007,2.83,1.2,5.27,2.09,444,186.2191,73.8516,-99999
5010,2.83,1.18,4.77,2.8,445,168.5512,98.9399,-99999
5013,2.66,1.17,4.94,2.06,443,185.7143,77.4436,-99999
5016,2.26,0.16,3.74,1.67,441,165.4867,73.8938,0.99
5019,2.13,1.05,4.07,2.09,444,191.0798,98.1221,-99999
5022,2.14,0.96,3.65,2.16,445,170.5607,100.9346,-99999
5043,1.05,0.73,2.41,3.13,440,229.5238,298.0953,-99999
5046,1.58,1.11,3.41,2.32,438,215.8228,146.8354,-99999
5049,1.7,1.15,3.47,1.83,441,204.1176,107.6471,-99999
5052,1.3,1,2.69,2.27,440,206.9231,174.6154,-99999
5055,1.22,0.95,2.41,1.59,446,197.541,130.3279,-99999
5058,1.17,0.96,2.42,2.54,440,206.8376,217.094,-99999
5064,1.2,0.86,2.51,2.08,441,209.1666,173.3333,-99999
