Profundidade [m]	Produtividade Primária [gC/m²/yr]
1628.6	157.6717366
1628.8	157.6711306
1629	157.6705246
1629.2	157.6699187
1629.4	157.6693127
1629.6	157.6687067
1629.8	157.6681008
1630	157.6674949
1630.2	157.6668889
1630.4	157.666283
1630.6	157.6656771
1630.8	157.6650712
1631	157.6644653
1631.2	157.6638594
1631.4	157.6632535
1631.6	157.6626477
1631.8	157.6620418
1632	157.6614359
1632.2	157.6608301
1632.4	157.6602243
1632.6	157.6596184
1632.8	157.6590126
1633	157.6584068
1633.2	157.657801
1633.4	157.6571952
1633.6	157.6565894
1633.8	157.6559836
1634	157.6553779
1634.2	157.6547721
1634.4	157.6541664
1634.6	157.6535606
1634.8	157.6529549
1635	157.6523492
1635.2	157.6517435
1635.4	157.6511377
1635.6	157.650532
1635.8	157.6499264
1636	157.6493207
1636.2	157.648715
1636.4	157.6481093
1636.6	157.6475037
1636.8	157.646898
1637	157.6462924
1637.2	157.6456868
1637.4	157.6450812
1637.6	157.6444755
1637.8	157.6438699
1638	157.6432643
1638.2	157.6426588
1638.4	157.6420532
1638.6	157.6414476
1638.8	157.6408421
1639	157.6402365
1639.2	157.639631
1639.4	157.6390254
1639.6	157.6384199
1639.8	157.6378144
1640	157.6372089
1640.2	157.6366034
1640.4	157.6359979
1640.6	157.6353924
1640.8	157.6347869
1641	157.6341815
1641.2	157.633576
1641.4	157.6329706
1641.6	157.6323651
1641.8	157.6317597
1642	157.6311543
1642.2	157.6305488
1642.4	157.6299434
1642.6	157.629338
1642.8	157.6287327
1643	157.6281273
1643.2	157.6275219
1643.4	157.6269165
1643.6	157.6263112
1643.8	157.6257059
1644	157.6251005
1644.2	157.6244952
1644.4	157.6238899
1644.6	157.6232846
1644.8	157.6226793
1645	157.622074
1645.2	157.6214687
1645.4	157.6208634
1645.6	157.6202581
1645.8	157.6196529
1646	157.6190476
1646.2	157.6184424
1646.4	157.6178372
1646.6	157.6172319
1646.8	157.6166267
1647	157.6160215
1647.2	157.6154163
1647.4	157.6148111
1647.6	157.6142059
1647.8	157.6136008
1648	157.6129956
1648.2	157.6123905
1648.4	157.6117853
1648.6	157.6111802
1648.8	157.610575
1649	157.6099699
1649.2	157.6093648
1649.4	157.6087597
1649.6	157.6081546
1649.8	157.6075495
1650	157.6069444
1650.2	157.6063394
1650.4	157.6057343
1650.6	157.6051293
1650.8	157.6045242
1651	157.6039192
1651.2	157.6016015
1651.4	157.5984594
1651.6	157.5953175
1651.8	157.5921759
1652	157.5890346
1652.2	157.5855312
1652.4	157.5819074
1652.6	157.5782838
1652.8	157.5746606
1653	157.5710377
1653.2	157.5674151
1653.4	157.5637928
1653.6	157.5601709
1653.8	157.5565492
1654	157.5529278
1654.2	157.5493068
1654.4	157.545686
1654.6	157.5420656
1654.8	157.5384455
1655	157.5348256
1655.2	157.5312061
1655.4	157.5275869
1655.6	157.523968
1655.8	157.5203495
1656	157.5167312
1656.2	157.5131132
1656.4	157.5094956
1656.6	157.5058782
1656.8	157.5022612
1657	157.4986444
1657.2	157.495028
1657.4	157.4914119
1657.6	157.4877961
1657.8	157.4841806
1658	157.4805654
1658.2	157.4769505
1658.4	157.4733359
1658.6	157.4697216
1658.8	157.4661077
1659	157.462494
1659.2	157.4588807
1659.4	157.4552676
1659.6	157.4516549
1659.8	157.4480425
1660	157.4444303
1660.2	157.4408185
1660.4	157.437207
1660.6	157.4335958
1660.8	157.4299849
1661	157.4263744
1661.2	157.4227641
1661.4	157.4191541
1661.6	157.4155444
1661.8	157.4119351
1662	157.408326
1662.2	157.4047173
1662.4	157.4011089
1662.6	157.3975007
1662.8	157.3938929
1663	157.3902854
1663.2	157.3866782
1663.4	157.3830713
1663.6	157.3794647
1663.8	157.3758584
1664	157.3722524
1664.2	157.3686468
1664.4	157.3650414
1664.6	157.3614363
1664.8	157.3578316
1665	157.3542271
1665.2	157.350623
1665.4	157.3470192
1665.6	157.3434156
1665.8	157.3398124
1666	157.3362095
1666.2	157.3326069
1666.4	157.3290046
1666.6	157.3254026
1666.8	157.3218009
1667	157.3181995
1667.2	157.3145984
1667.4	157.3109976
1667.6	157.3073972
1667.8	157.303797
1668	157.3001971
1668.2	157.2965976
1668.4	157.2929983
1668.6	157.2893994
1668.8	157.2858007
1669	157.2822024
1669.2	157.2786044
1669.4	157.2750067
1669.6	157.2714092
1669.8	157.2678121
1670	157.2642153
1670.2	157.2606188
1670.4	157.2570226
1670.6	157.2534267
1670.8	157.2498312
1671	157.2462359
1671.2	157.2426409
1671.4	157.2390462
1671.6	157.2354519
1671.8	157.2318578
1672	157.228264
1672.2	157.2246706
1672.4	157.2210774
1672.6	157.2174846
1672.8	157.2138921
1673	157.2102998
1673.2	157.2067079
1673.4	157.2031163
1673.6	157.1995249
1673.8	157.1959339
1674	157.1923432
1674.2	157.1887528
1674.4	157.1851627
1674.6	157.1815729
1674.8	157.1779834
1675	157.1743942
1675.2	157.1708053
1675.4	157.1672167
1675.6	157.1636285
1675.8	157.1600405
1676	157.1564528
1676.2	157.1528654
1676.4	157.1492784
1676.6	157.1456916
1676.8	157.1421052
1677	157.1387384
1677.2	157.1357376
1677.4	157.132737
1677.6	157.1297366
1677.8	157.1267365
1678	157.1237365
1678.2	157.1207367
1678.4	157.1177372
1678.6	157.1147379
1678.8	157.1117388
1679	157.1087399
1679.2	157.1057412
1679.4	157.1027427
1679.6	157.0997444
1679.8	157.0967464
1680	157.0937486
1680.2	157.0907509
1680.4	157.0877535
1680.6	157.0847563
