Unnamed: 0,Profundidade [m],COₘₐ [%],qCO [%],rCO [%],COT [%],IH [mg HC/g COT],IO  [mg CO₂/g COT],δ¹³C [‰],of,of_class
801,2463.0,0.40969476529630394,0.1325900343713906,0.0110491695309492,0.5533339691986437,461.14081702966513,55.74335674537071,-18.619019027433797,3.0000000000000004,BC
802,2463.5,0.41022661215332906,0.16299418485524164,0.013582848737936748,0.5868036457465075,446.9950556341129,61.43344953144674,-18.71756253378483,3.0,BC
803,2464.0,0.41076043595116174,0.16904163420621374,0.014086802850517775,0.5938888730078933,444.4478074369124,62.45807296357906,-18.735307408866454,3.0,BC
804,2464.5,0.4112949873113325,0.16245038887474814,0.013537532406229014,0.5872829085923097,447.42248867395705,61.261515791824024,-18.7145849103612,3.0000000000000004,BC
805,2465.0,0.4118291561016536,0.15083722649306353,0.012569768874421905,0.5752361514691391,452.76085508826264,59.11417289708086,-18.67739629039637,3.0,BC
806,2465.5,0.4123647515812371,0.1500242178323834,0.01250201815269858,0.5748909875663191,453.2269039126467,58.92670606659829,-18.674149658136614,3.0,BC
807,2466.0,0.4129019952602386,0.11322276174815114,0.009435230145679208,0.5355599871540689,471.60210778369066,51.53533192521205,-18.546142619933843,2.9999999999999996,B
808,2466.5,0.4134403198058252,0.12911832746902352,0.010759860622418571,0.5533185078972673,463.4650674315545,54.80843355000389,-18.60282762013973,3.0,BC
809,2467.0,0.4139797751447629,0.1359744442371973,0.011331203686433087,0.5612854230683932,460.16360957857427,56.13643569760722,-18.625826540014426,3.0,BC
810,2467.5,0.4145202482657749,0.14018657276377766,0.011682214396981416,0.566389035426534,458.21528875922144,56.92014227438058,-18.63939911201441,2.9999999999999996,B
811,2468.0,0.4150618528087647,0.1352990645475911,0.011274922045632574,0.5616358394019884,460.66559577734915,55.93451315922358,-18.622329557506106,2.9999999999999996,B
812,2468.5,0.4156045548692354,0.14542698574279367,0.012118915478566084,0.5731504560905951,455.90747454435416,57.84845405968671,-18.655476020028093,3.0,BC
813,2469.0,0.4161483687625808,0.13265981632670076,0.011054984693891656,0.5598631697831733,462.1308838606573,55.34510514369062,-18.61212193265609,3.0,BC
814,2469.5,0.41669327970159054,0.1526735638381993,0.012722796986516571,0.5820896405263064,452.7358629182816,59.124225927253036,-18.677570393153545,3.0,BC
815,2470.0,0.4172393023064363,0.13328771433264208,0.011107309527720157,0.5616343261667985,461.9934001618068,55.40040757536314,-18.613079684266065,3.0000000000000004,BC
816,2470.5,0.41778643571868695,0.13892264056970127,0.011576886714141754,0.5682859630025301,459.3464395887224,56.46514003060376,-18.63151918488755,3.0,BC
817,2471.0,0.418334683363666,0.13818389105313236,0.01151532425442764,0.5680338986712259,459.788494925965,56.287324512926475,-18.628439698268558,3.0,BC
818,2471.5,0.418884045664049,0.14157137447115886,0.011797614539263257,0.5722530346744712,458.2584424745148,56.9027838136221,-18.63909849062697,3.0,BC
819,2472.0,0.4194350365975572,0.13218758894781235,0.011015632412317622,0.5626382579576872,462.8755225200129,55.045576334646505,-18.606934562220133,3.0,BC
820,2472.5,0.4199875047365193,0.13463347489608424,0.011219456241340351,0.565840435873944,461.765619583456,55.492031673171574,-18.61466647031749,3.0000000000000004,BC
821,2473.0,0.4205397392341977,0.13267250732575508,0.011056042277146185,0.5642682888370989,462.8085183828143,55.07252856062081,-18.607401332614106,3.0,BC
822,2473.5,0.4210927461309009,0.15119392336373585,0.012599493613644595,0.5848861631082813,454.13904428383836,58.559800164478524,-18.667795421842925,3.0000000000000004,BC
