Profundidade [m]	Idade [Ma]
2541.0	60.605244
2541.2	60.60994
2541.4	60.614636
2541.6	60.619331
2541.8	60.624027
2542.0	60.628722
2542.2	60.633418
2542.4	60.638113
2542.6	60.642809
2542.8	60.647504
2543.0	60.6522
2543.2	60.656896
2543.4	60.661591
2543.6	60.666287
2543.8	60.670982
2544.0	60.675678
2544.2	60.680373
2544.4	60.685069
2544.6	60.689765
2544.8	60.69446
2545.0	60.699156
2545.2	60.703851
2545.4	60.708547
2545.6	60.713242
2545.8	60.717938
2546.0	60.722633
2546.2	60.727329
2546.4	60.732025
2546.6	60.73672
2546.8	60.741416
2547.0	60.746111
2547.2	60.750807
2547.4	60.755502
2547.6	60.760198
2547.8	60.764894
2548.0	60.769589
2548.2	60.774285
2548.4	60.77898
2548.6	60.783676
2548.8	60.788371
2549.0	60.793067
2549.2	60.797763
2549.4	60.802458
2549.6	60.807154
2549.8	60.811849
2550.0	60.816545
2550.2	60.82124
2550.4	60.825936
2550.6	60.830631
2550.8	60.835327
2551.0	60.840023
2551.2	60.844718
2551.4	60.849414
2551.6	60.854109
2551.8	60.858805
2552.0	60.8635
2552.2	60.868196
2552.4	60.872892
2552.6	60.877587
2552.8	60.882283
2553.0	60.886978
2553.2	60.891674
2553.4	60.896369
2553.6	60.901065
2553.8	60.90576
2554.0	60.910456
2554.2	60.915152
2554.4	60.919847
2554.6	60.924543
2554.8	60.929238
2555.0	60.933934
2555.2	60.938629
2555.4	60.943325
2555.6	60.948021
2555.8	60.952716
2556.0	60.957412
2556.2	60.962107
2556.4	60.966803
2556.6	60.971498
2556.8	60.976194
2557.0	60.980889
2557.2	60.985585
2557.4	60.990281
2557.6	60.994976
2557.8	60.999672
2558.0	61.004367
2558.2	61.009063
2558.4	61.013758
2558.6	61.018454
2558.8	61.02315
2559.0	61.027845
2559.2	61.032541
2559.4	61.037236
2559.6	61.041932
2559.8	61.046627
2560.0	61.051323
2560.2	61.056018
2560.4	61.060714
2560.6	61.06541
2560.8	61.070105
2561.0	61.074801
2561.2	61.079496
2561.4	61.084192
2561.6	61.088887
2561.8	61.093583
2562.0	61.098279
2562.2	61.102974
2562.4	61.10767
2562.6	61.112365
2562.8	61.117061
2563.0	61.121756
2563.2	61.126452
2563.4	61.131148
2563.6	61.135843
2563.8	61.140539
2564.0	61.145234
2564.2	61.14993
2564.4	61.154625
2564.6	61.159321
2564.8	61.164016
2565.0	61.168712
2565.2	61.173408
2565.4	61.178103
2565.6	61.182799
2565.8	61.187494
2566.0	61.19219
2566.2	61.196885
2566.4	61.201581
2566.6	61.206277
2566.8	61.210972
2567.0	61.215668
2567.2	61.220363
2567.4	61.225059
2567.6	61.229754
2567.8	61.23445
2568.0	61.239145
2568.2	61.243841
2568.4	61.248537
2568.6	61.253232
2568.8	61.257928
2569.0	61.262623
2569.2	61.267319
2569.4	61.272014
2569.6	61.27671
2569.8	61.281406
2570.0	61.286101
2570.2	61.290797
2570.4	61.295492
2570.6	61.300188
2570.8	61.304883
2571.0	61.309579
2571.2	61.314274
2571.4	61.31897
2571.6	61.323666
2571.8	61.328361
2572.0	61.333057
2572.2	61.337752
2572.4	61.342448
2572.6	61.347143
2572.8	61.351839
2573.0	61.356535
2573.2	61.36123
2573.4	61.365926
2573.6	61.370621
2573.8	61.375317
2574.0	61.380012
2574.2	61.384708
2574.4	61.389404
2574.6	61.394099
2574.8	61.398795
2575.0	61.40349
2575.2	61.408186
2575.4	61.412881
2575.6	61.417577
2575.8	61.422272
2576.0	61.426968
2576.2	61.431664
2576.4	61.436359
2576.6	61.441055
2576.8	61.44575
2577.0	61.450446
2577.2	61.455141
2577.4	61.459837
2577.6	61.464533
2577.8	61.469228
2578.0	61.473924
2578.2	61.478619
2578.4	61.483315
2578.6	61.48801
2578.8	61.492706
2579.0	61.497401
2579.2	61.502097
2579.4	61.506793
2579.6	61.511488
2579.8	61.516184
2580.0	61.520879
2580.2	61.525575
2580.4	61.53027
2580.6	61.534966
2580.8	61.539662
2581.0	61.544357
2581.2	61.549053
2581.4	61.553748
2581.6	61.558444
2581.8	61.563139
2582.0	61.567835
2582.2	61.57253
2582.4	61.577226
2582.6	61.581922
2582.8	61.586617
2583.0	61.591313
2583.2	61.596008
2583.4	61.600704
2583.6	61.605399
2583.8	61.610095
2584.0	61.614791
2584.2	61.619486
2584.4	61.624182
2584.6	61.628877
2584.8	61.633573
2585.0	61.638268
2585.2	61.642964
2585.4	61.647659
2585.6	61.652355
2585.8	61.657051
2586.0	61.661746
2586.2	61.666442
2586.4	61.671137
2586.6	61.675833
2586.8	61.680528
2587.0	61.685224
2587.2	61.68992
2587.4	61.694615
2587.6	61.699311
2587.8	61.704006
2588.0	61.708702
2588.2	61.713397
2588.4	61.718093
2588.6	61.722789
2588.8	61.727484
2589.0	61.73218
2589.2	61.736875
2589.4	61.741571
2589.6	61.746266
2589.8	61.750962
2590.0	61.755657
2590.2	61.760353
2590.4	61.765049
2590.6	61.769744
2590.8	61.77444
2591.0	61.779135
2591.2	61.783831
2591.4	61.788526
2591.6	61.793222
2591.8	61.797918
2592.0	61.802613
2592.2	61.807309
2592.4	61.812004
2592.6	61.8167
2592.8	61.821395
2593.0	61.826091
2593.2	61.830786
2593.4	61.835482
2593.6	61.840178
2593.8	61.844873
2594.0	61.849569
2594.2	61.854264
2594.4	61.85896
2594.6	61.863655
2594.8	61.868351
2595.0	61.873047
2595.2	61.877742
2595.4	61.882438
2595.6	61.887133
2595.8	61.891829
2596.0	61.896524
2596.2	61.90122
2596.4	61.905915
2596.6	61.910611
2596.8	61.915307
2597.0	61.920002
2597.2	61.924698
2597.4	61.929393
2597.6	61.934089
2597.8	61.938784
2598.0	61.94348
2598.2	61.948176
2598.4	61.952871
2598.6	61.957567
2598.8	61.962262
2599.0	61.966958
2599.2	61.971653
2599.4	61.976349
2599.6	61.981044
2599.8	61.98574
2600.0	61.990436
2600.2	61.995131
2600.4	61.999827
2600.6	62.004522
2600.8	62.009218
2601.0	62.013913
2601.2	62.018609
2601.4	62.023305
2601.6	62.028
2601.8	62.032696
2602.0	62.037391
2602.2	62.042087
2602.4	62.046782
2602.6	62.051478
2602.8	62.056174
2603.0	62.060869
2603.2	62.065565
2603.4	62.07026
2603.6	62.074956
2603.8	62.079651
2604.0	62.084347
2604.2	62.089042
2604.4	62.093738
2604.6	62.098434
2604.8	62.103129
2605.0	62.107825
2605.2	62.11252
2605.4	62.117216
2605.6	62.121911
2605.8	62.126607
2606.0	62.131303
2606.2	62.135998
2606.4	62.140694
2606.6	62.145389
2606.8	62.150085
2607.0	62.15478
2607.2	62.159476
2607.4	62.164171
2607.6	62.168867
2607.8	62.173563
2608.0	62.178258
2608.2	62.182954
2608.4	62.187649
2608.6	62.192345
2608.8	62.19704
2609.0	62.201736
2609.2	62.206432
2609.4	62.211127
2609.6	62.215823
2609.8	62.220518
2610.0	62.225214
2610.2	62.229909
2610.4	62.234605
2610.6	62.2393
2610.8	62.243996
2611.0	62.248692
2611.2	62.253387
2611.4	62.258083
2611.6	62.262778
2611.8	62.267474
2612.0	62.272169
2612.2	62.276865
2612.4	62.281561
