Profundidade [m],Densidade Aparente Seca [g/cm3]
2500.6,1.819243
2500.8,1.726108
2501.0,1.7859749999999999
2501.2,1.871311
2501.4,1.879337
2501.6,1.7945789999999997
2501.8,1.711541
2502.0,1.7002629999999999
2502.2,1.6755019999999998
2502.4,1.760719
2502.6,1.8167779999999998
2502.8,1.8741860000000001
2503.0,1.842078
2503.2,1.7608510000000002
2503.4,1.721232
2503.6,1.766019
2503.8,1.8866669999999996
2504.0,1.9747569999999999
2504.2,1.948219
2504.4,1.883404
2504.6,1.811516
2504.8,1.787064
2505.0,1.7797349999999998
2505.2,1.838397
2505.4,1.919269
2505.6,1.9422789999999999
2505.8,1.95441
2506.0,1.9203769999999998
2506.2,1.92773
2506.4,1.9659749999999998
2506.6,1.9622990000000002
2506.8,1.8048600000000001
2507.0,1.8356579999999998
2507.2,1.953671
2507.4,2.008863
2507.6,1.9071500000000001
2507.8,1.8845110000000003
2508.0,1.929087
2508.2,1.978563
2508.4,1.8701500000000002
2508.6,1.7999560000000001
2508.8,1.741432
2509.0,1.717791
2509.2,1.7298749999999998
2509.4,1.8075890000000001
2509.6,1.8651050000000002
2509.8,1.8534220000000001
2510.0,1.8972110000000002
2510.2,1.9478
2510.4,1.9551040000000002
2510.6,1.88917
2510.8,1.8234990000000002
2511.0,1.781941
2511.2,1.770022
2511.4,1.773048
2511.6,1.788483
2511.8,1.8398999999999999
2512.0,1.9325750000000002
2512.2,2.004612
2512.4,2.002114
2512.6,1.953692
2512.8,1.9460289999999998
2513.0,1.944394
2513.2,1.941637
2513.4,1.924303
2513.6,1.8945630000000002
2513.8,1.909237
2514.0,1.873584
2514.2,1.919126
2514.4,1.8848089999999997
2514.6,1.8147349999999998
2514.8,1.823046
2515.0,1.8662999999999998
2515.2,1.9376309999999999
2515.4,2.029067
2515.6,2.014728
2515.8,1.871075
2516.0,1.786065
2516.2,1.800383
2516.4,1.817464
2516.6,1.8728580000000001
2516.8,1.9443570000000001
2517.0,1.959205
2517.2,1.85059
2517.4,1.759523
2517.6,1.7565750000000002
2517.8,1.8366639999999999
2518.0,1.8639739999999998
2518.2,1.8037479999999997
2518.4,1.7193559999999999
2518.6,1.7162230000000003
2518.8,1.826681
2519.0,1.8740850000000002
2519.2,1.8399560000000001
2519.4,1.8559620000000001
2519.6,1.90463
2519.8,1.902509
