Depth(m) COT
5081.677647882471 0.5+/-1.5
5082.704623620869 0.5+/-1.5
5082.672436507587 0.5+/-1.5
5083.697686724882 0.4+/-1.5
5083.667218528892 0.5+/-1.5
5084.690756397624 0.2+/-1.5
5084.661994016287 0.2+/-1.5
5085.683832569682 0.2+/-1.5
5085.656763038716 0.6+/-1.5
5086.676915172605 0.6+/-1.5
5086.651525664141 0.4+/-1.5
5087.670004138915 0.5+/-1.5
5087.646281959569 0.4+/-1.5
5088.663099402054 0.5+/-1.5
5088.641031991089 0.5+/-1.5
5089.656200896414 0.5+/-1.5
5089.6357758238555 0.5+/-1.5
5090.6493085572865 0.4+/-1.5
5090.630513522132 0.5+/-1.5
5091.642422320847 0.4+/-1.5
5091.625245149291 0.3+/-1.5
5092.6355421241815 0.4+/-1.5
5092.619970767817 0.3+/-1.5
5093.628667905202 0.4+/-1.5
5093.6146904393745 0.4+/-1.5
5094.621799602706 0.3+/-1.5
5094.609404224743 0.4+/-1.5
5095.614937156306 0.4+/-1.5
5095.6041121839025 0.5+/-1.5
5096.60808050644 0.5+/-1.5
5096.598814375993 0.4+/-1.5
5097.601229594354 0.4+/-1.5
5097.593510859381 0.4+/-1.5
5098.594384362104 0.5+/-1.5
5098.588201691619 0.6+/-1.5
5099.587544752506 0.4+/-1.5
5099.582886929508 0.4+/-1.5
5100.580710709159 0.4+/-1.5
5100.577566629059 0.4+/-1.5
5101.573882176418 0.4+/-1.5
5101.572240845549 0.3+/-1.5
5102.567059099369 0.3+/-1.5
5102.566909633524 0.3+/-1.5
5103.560241423848 0.4+/-1.5
5103.561573046791 0.4+/-1.5
5104.553429096402 0.4+/-1.5
5104.556231138439 0.6+/-1.5
5105.5466220642675 0.6+/-1.5
5105.550883960887 0.4+/-1.5
5106.5398202754195 0.4+/-1.5
5106.545531565819 0.4+/-1.5
5107.533023678482 0.4+/-1.5
5107.540174004265 0.5+/-1.5
5108.5262322227645 0.5+/-1.5
5108.534811326583 0.5+/-1.5
5109.519445858243 0.4+/-1.5
5109.529443582478 0.2+/-1.5
5110.512664535549 0.3+/-1.5
5110.524070820989 0.5+/-1.5
5111.505888205948 0.6+/-1.5
5111.51869309054 0.6+/-1.5
5112.499116821332 0.4+/-1.5
5112.513310438915 0.3+/-1.5
5113.492350334232 0.4+/-1.5
5113.50792291329 0.4+/-1.5
5114.485588697783 0.4+/-1.5
5114.502530560213 0.5+/-1.5
5115.478831865717 0.5+/-1.5
5115.497133425661 0.5+/-1.5
5116.472079792368 0.4+/-1.5
5116.491731555013 0.3+/-1.5
5117.465332432647 0.5+/-1.5
5117.486324993065 0.5+/-1.5
5118.458589742043 0.5+/-1.5
5118.480913784042 0.5+/-1.5
5119.451851676602 0.4+/-1.5
5119.475497971619 0.3+/-1.5
5120.4451181929435 0.5+/-1.5
5120.470077598904 0.4+/-1.5
5121.438389248217 0.3+/-1.5
5121.464652708478 0.4+/-1.5
5122.431664800122 0.4+/-1.5
5122.459223342368 0.3+/-1.5
5123.424944806884 0.4+/-1.5
5123.453789542094 0.3+/-1.5
5124.41822922726 0.5+/-1.5
5124.44835134864 0.5+/-1.5
5125.411518020506 0.4+/-1.5
5125.442908802486 0.4+/-1.5
5126.404811146397 0.4+/-1.5
5126.437461943618 0.4+/-1.5
5127.398108565209 0.4+/-1.5
5127.4320108115035 0.4+/-1.5
5128.391410237702 0.4+/-1.5
5128.426555445154 0.4+/-1.5
5129.3847161251215 0.4+/-1.5
5129.421095883066 0.4+/-1.5
5130.378026189191 0.4+/-1.5
5130.415632163293 0.4+/-1.5
5131.371340392105 0.4+/-1.5
5131.410164323402 0.4+/-1.5
5132.36465869652 0.4+/-1.5
5132.404692400515 0.4+/-1.5
5133.357981065543 0.4+/-1.5
5133.399216431295 0.4+/-1.5
5134.351307462744 0.3+/-1.5
5134.393736451951 0.2+/-1.5
5135.344637852116 0.2+/-1.5
5135.3882524982755 0.3+/-1.5
5136.337972198093 0.3+/-1.5
5136.382764605608 0.2+/-1.5
5137.3313104655535 0.3+/-1.5
5137.377272808861 0.3+/-1.5
5138.324652619773 0.2+/-1.5
5138.371777142561 0.2+/-1.5
5139.317998626469 0.3+/-1.5
5139.366277640778 0.2+/-1.5
5140.31134845175 0.3+/-1.5
5140.360774337199 0.3+/-1.5
5141.304702062133 0.3+/-1.5
5141.355267265106 0.3+/-1.5
5142.2980594245455 0.3+/-1.5
5142.349756457386 0.4+/-1.5
5143.291420506285 0.4+/-1.5
5143.344241946529 0.5+/-1.5
5144.284785275056 0.5+/-1.5
5144.338723764655 0.4+/-1.5
5145.27815369894 0.4+/-1.5
5145.333201943488 0.4+/-1.5
5146.271525746379 0.5+/-1.5
5146.3276765143955 0.5+/-1.5
5147.264901386202 0.6+/-1.5
5147.322147508375 0.6+/-1.5
5148.258280587603 0.5+/-1.5
5148.316614956043 0.5+/-1.5
5149.251663320124 0.4+/-1.5
5149.3110788876875 0.5+/-1.5
5150.245049553663 0.5+/-1.5
5150.305539333227 0.6+/-1.5
5151.23843925848 0.7+/-1.5
5151.299996322227 0.6+/-1.5
5152.231832405168 0.5+/-1.5
5152.294449883941 0.5+/-1.5
5153.225228964669 0.5+/-1.5
5153.28890004725 0.5+/-1.5
5154.218628908239 0.6+/-1.5
5154.283346840726 0.5+/-1.5
5155.212032207487 0.5+/-1.5
5155.277790292601 0.5+/-1.5
5156.205438834344 0.5+/-1.5
5156.272230430796 0.5+/-1.5
5157.19884876104 0.4+/-1.5
5157.266667282896 0.5+/-1.5
5158.192261960152 0.6+/-1.5
5158.261100876185 0.5+/-1.5
5159.185678404539 0.5+/-1.5
5159.255531237642 0.5+/-1.5
5160.1790980674 0.5+/-1.5
5160.249958393931 0.5+/-1.5
5161.172520922207 0.5+/-1.5
5161.244382371414 0.5+/-1.5
5162.165946942752 0.4+/-1.5
5162.2388031961555 0.5+/-1.5
5163.159376103106 0.5+/-1.5
5163.23322089394 0.5+/-1.5
5164.152808377639 0.5+/-1.5
5164.227635490255 0.5+/-1.5
5165.14624374101 0.5+/-1.5
5165.222047010291 0.5+/-1.5
5166.13968216816 0.5+/-1.5
5166.216455478982 0.4+/-1.5
5167.1331236342985 0.4+/-1.5
5167.210860920973 0.3+/-1.5
5168.126568114925 0.3+/-1.5
5168.205263360623 0.4+/-1.5
5169.1200155858005 0.4+/-1.5
5169.199662822041 0.5+/-1.5
5170.113466022954 0.4+/-1.5
5170.194059329069 0.4+/-1.5
5171.106919402688 0.5+/-1.5
5171.188452905265 0.5+/-1.5
5172.100375701554 0.5+/-1.5
5172.182843573961 0.4+/-1.5
5173.093834896375 0.4+/-1.5
5173.177231358205 0.4+/-1.5
5174.0872969642 0.4+/-1.5
5174.171616280806 0.4+/-1.5
5175.080761882354 0.4+/-1.5
5175.1659983643285 0.5+/-1.5
5176.074229628407 0.4+/-1.5
5176.160377631076 0.5+/-1.5
5177.067700180166 0.4+/-1.5
5177.154754103136 0.3+/-1.5
5178.061173515671 0.3+/-1.5
5178.149127802328 0.3+/-1.5
5179.054649613214 0.4+/-1.5
5179.14349875025 0.4+/-1.5
5180.048128451303 0.4+/-1.5
5180.137866968279 0.5+/-1.5
5181.041610008703 0.5+/-1.5
5181.132232477547 0.5+/-1.5
5182.035094264388 0.5+/-1.5
5182.1265952989515 0.4+/-1.5
5183.02858119755 0.5+/-1.5
5183.1209554531915 0.5+/-1.5
5184.022070787619 0.5+/-1.5
5184.115312960733 0.5+/-1.5
5185.01556301424 0.5+/-1.5
5185.1096678418135 0.4+/-1.5
5186.009057857269 0.5+/-1.5
5186.1040201164815 0.4+/-1.5
5187.002555296789 0.5+/-1.5
5187.098369804545 0.5+/-1.5
5187.996055313067 0.5+/-1.5
5188.092716925623 0.5+/-1.5
5188.989557886604 0.5+/-1.5
5189.087061499115 0.5+/-1.5
5189.983062998101 0.5+/-1.5
5190.081403544236 0.5+/-1.5
5190.976570628454 0.5+/-1.5
5191.075743079976 0.4+/-1.5
5191.970080758756 0.5+/-1.5
5192.070080125142 0.5+/-1.5
5192.963593370309 0.4+/-1.5
5193.064414698327 0.5+/-1.5
