Depth(m) COT DT GR NPHI RHOB
4872.5046 3.8503289528437556 73.2979 120.6772 17.79597 2.621038
4872.704600000001 3.8802841797597725 72.20556 121.5307 15.10777 2.627475
4872.9046 3.9005999244687546 71.14555 122.1116 17.41785 2.619238
4873.104600000001 3.8741504641969833 70.14944 121.3706 19.93503 2.619255
4873.3046 3.774403096255936 69.22347 118.5579 19.01785 2.63962
4873.5046 3.526481182272635 69.43089 111.5508 15.60564 2.647547
4873.704600000001 3.4542193303775077 70.5079 109.5019 12.70903 2.681075
4873.9046 3.521009257723211 71.71217 111.3815 13.44626 2.630247
4874.104600000001 3.6882865118221857 72.38262 116.1041 16.62569 2.670062
4874.3046 3.9128822381839976 72.49384 122.45 17.55942 2.641061
4874.5046 3.900296117274368 73.88394 122.0854 18.41726 2.646286
4874.704600000001 3.8668625692361243 75.11771 121.1327 20.3999 2.61825
4874.9046 3.9833552297867754 76.43041 124.4161 23.00899 2.653373
4875.104600000001 3.914893815306659 76.65125 122.4801 21.49901 2.644044
4875.3046 3.6453303979930123 74.39551 114.8773 20.5524 2.642716
4875.5046 3.6281759332475256 70.82775 114.4155 21.76632 2.642382
4875.704600000001 3.638806838601637 69.60082 114.7238 21.02788 2.647586
4875.9046 3.350818697199913 69.96532 106.5835 15.12032 2.656503
4876.104600000001 3.5615878210496525 70.27685 112.5374 11.46256 2.679839
4876.3046 3.9954829997600285 72.01634 124.7872 15.05651 2.637628
4876.5046 4.059413410004782 72.7536 126.589 19.281 2.635162
4876.704600000001 4.213327745168581 72.03912 130.9429 19.40147 2.651709
4876.9046 4.194716339818594 72.39353 130.4147 17.93819 2.648527
4877.104600000001 4.185913398219272 74.04867 130.1553 18.27345 2.645787
4877.3046 4.090142357882515 74.46941 127.4463 19.01822 2.673864
4877.5046 3.8942565275554593 74.46435 121.911 17.87644 2.643829
4877.704600000001 3.711953714490212 73.26666 116.7672 19.93726 2.646042
4877.9046 3.4449521462571 69.54847 109.2462 24.06739 2.617233
4878.104600000001 3.2527613019528525 67.78872 103.8266 21.39965 2.635129
4878.3046 3.313270535463429 67.7836 105.5365 12.20458 2.632714
4878.5046 3.5982962344655043 70.23093 113.575 7.984406 2.59862
4878.704600000001 3.7316172250249586 72.17077 117.3299 11.40322 2.639352
4878.9046 3.584946851301324 72.46544 113.1834 17.33213 2.626765
4879.104600000001 3.426577424883702 72.74592 108.7064 18.7062 2.646274
4879.3046 3.5576935549445303 74.23418 112.4019 18.95063 2.66752
4879.5046 3.758737562302914 75.10351 118.0774 19.38662 2.648203
4879.704600000001 3.8275378495400303 74.86337 120.0231 18.8285 2.651317
4879.9046 3.9049310382640368 74.87473 122.21 18.57812 2.669827
4880.104600000001 3.5636049429823697 75.22036 112.5626 20.36548 2.658718
4880.3046 3.0190585746604053 74.79043 97.1776 19.74204 2.648504
4880.5046 2.853419248628624 72.46661 92.51192 20.35785 2.664883
4880.704600000001 2.905336453868495 68.5528 94.00417 21.42682 2.630104
4880.9046 2.746162552872152 63.22238 89.54053 18.24219 2.6597
4881.104600000001 2.295811528950046 60.50685 76.832 10.938 2.640061
4881.3046 2.3097128399290217 60.6083 77.22417 5.614768 2.577281
4881.5046 2.6376647471135395 62.45817 86.47952 3.717207 2.612387
4881.704600000001 2.742174408675282 65.2345 89.41489 6.396519 2.647761
4881.9046 2.5805667455180283 67.09506 84.83622 13.51608 2.620497
4882.104600000001 2.6943006232015634 67.10696 88.05003 17.60442 2.639148
4882.3046 3.0309367628504056 67.6088 97.55945 16.38665 2.636686
4882.5046 2.891567642190765 68.25612 93.617 15.86324 2.658591
4882.704600000001 2.643861053264321 68.82026 86.61369 16.67474 2.657448
4882.9046 2.8416124734113954 69.61314 92.19664 18.50454 2.637974
4883.104600000001 3.204818290346105 70.00067 102.4576 18.6621 2.639005
4883.3046 3.17296182917952 70.15638 101.5564 18.54337 2.649477
4883.5046 2.7317775056857623 71.16129 89.08297 18.7849 2.64068
4883.704600000001 2.766604950869025 72.10683 90.06104 18.74708 2.6515
4883.9046 2.9855816725197504 72.23957 96.24802 17.85453 2.630629
4884.104600000001 2.84698169380562 72.02789 92.33283 18.44203 2.633438
4884.3046 2.877727073151868 71.05651 93.20788 19.81987 2.630587
4884.5046 3.093276077982479 68.18266 99.31734 20.56412 2.637994
4884.704600000001 3.2297571312341433 63.63011 103.2033 20.35107 2.657267
4884.9046 3.226427862667894 61.14616 103.1252 17.31378 2.647938
4885.104600000001 2.983162551104282 62.6215 96.24153 9.764718 2.669479
4885.3046 2.5170001324188584 64.27003 83.05813 4.849906 2.661161
4885.5046 2.3576326072818956 67.47401 78.53412 4.369835 2.64835
4885.704600000001 2.3255801724111818 68.89719 77.64631 5.413185 2.659688
4885.9046 2.452177196044281 70.41149 81.31166 9.879177 2.639476
4886.104600000001 3.133878502363488 69.67216 100.4551 15.39377 2.626229
4886.3046 3.542246535254426 68.37325 112.0031 17.86058 2.670499
4886.5046 3.1624210047442087 68.0325 101.2722 18.30365 2.635494
4886.704600000001 2.543516517889277 68.11275 83.78271 16.68294 2.63271
4886.9046 2.38935755490831 67.59248 79.42984 16.60355 2.659267
4887.104600000001 2.504600644494885 66.72717 82.69194 17.80683 2.658237
4887.3046 2.795307328449245 66.43425 90.9086 18.02629 2.656439
4887.5046 2.7422601987364383 66.02644 89.41222 16.8636 2.650145
4887.704600000001 2.541584285364427 66.4803 83.73861 15.31197 2.641269
4887.9046 2.59122916069752 69.5059 85.12201 12.47299 2.67129
4888.104600000001 2.906894201963356 70.60154 94.03501 9.798432 2.665365
4888.3046 3.08305680153651 71.0344 99.01022 11.45891 2.646249
4888.5046 3.0766380297628144 68.83602 98.84298 15.51216 2.641216
4888.704600000001 2.905240420366996 65.35757 94.02201 17.15153 2.631272
4888.9046 2.913138687149919 64.4091 94.2513 16.25061 2.647271
4889.104600000001 3.3795252110124556 65.1908 107.4254 16.14963 2.650954
4889.3046 3.3680870099434665 67.37962 107.0881 16.18096 2.624147
4889.5046 3.0605767416161824 69.29942 98.38614 15.9772 2.647913
4889.704600000001 3.145359226388644 71.37003 100.7686 13.49655 2.65384
4889.9046 3.580487954397234 72.79201 113.0553 8.805272 2.64619
4890.104600000001 3.524355867034367 73.01309 111.4677 7.571283 2.625922
4890.3046 2.7317012198971766 73.36635 89.06663 12.19893 2.64234
4890.5046 2.0963732400210002 73.20031 71.11463 18.0027 2.650405
4890.704600000001 2.5980466899403303 72.54656 85.2951 20.12025 2.648801
4890.9046 3.004926346366732 72.63146 96.79214 19.55027 2.650707
4891.104600000001 2.9390322685091625 72.02335 94.93402 17.8918 2.634661
4891.3046 2.758914244684062 70.32317 89.85519 17.47944 2.625847
4891.5046 2.5967143145188274 68.7487 85.28188 19.7667 2.624893
4891.704600000001 2.3409239631624805 67.99447 78.05862 22.02524 2.625426
4891.9046 1.9689846042806498 67.52969 67.55783 20.30048 2.649906
4892.104600000001 1.8886085449887666 66.57938 65.57516 15.33834 2.647245
4892.3046 2.177375040274882 64.9074 74.20313 14.50533 2.639578
4892.5046 2.454024867732075 62.79891 82.02257 16.44791 2.648201
4892.704600000001 2.3273169932212507 63.56237 78.43687 15.49284 2.638029
4892.9046 2.0772249569006602 64.59798 71.36214 11.01643 2.644977
4893.104600000001 1.9880254894602976 64.3856 68.85113 6.870318 2.643686
4893.3046 2.069888728752222 65.78361 71.16042 7.330933 2.667184
4893.5046 2.2252492195749047 66.2403 75.55064 10.49615 2.659407
4893.704600000001 2.370313130468409 66.75316 79.64661 12.79812 2.648773
4893.9046 2.382339315246456 66.20328 79.99154 13.64649 2.659044
4894.104600000001 2.0208503766110244 66.81107 69.77454 14.19815 2.620926
4894.3046 2.069161984711008 66.82474 71.14368 14.18375 2.629074
4894.5046 2.467724580283257 65.71232 82.41626 15.1177 2.629149
