Depth(m) COT DT GR NPHI RHOB
4821.9046 3.369967552469101 79.67893 100.21 21.29857 2.620871
4822.104600000001 3.3753476758411094 79.13969 100.3655 24.04915 2.610767
4822.3046 4.787642879557772 77.17645 140.2867 26.45183 2.600976
4822.5046 6.883081327952665 71.28473 199.5374 25.61946 2.605401
4822.704600000001 7.413083229303005 67.8598 214.5362 19.85967 2.562587
4822.9046 6.499652498572748 70.25657 188.7091 11.65785 2.599991
4823.104600000001 5.509283954939928 77.48728 160.6768 9.421645 2.601285
4823.3046 4.517210946335511 84.53693 132.5975 14.02072 2.604026
4823.5046 3.7047788858804216 90.02974 109.6045 21.3905 2.583811
4823.704600000001 3.749599623116551 93.26983 110.8502 26.99836 2.529151
4823.9046 4.450046916245135 93.19312 130.6439 28.84204 2.507017
4824.104600000001 5.077172565266998 91.79198 148.3742 32.50179 2.442387
4824.3046 5.4394831580570076 88.24065 158.6352 31.68927 2.367341
4824.5046 5.337188565986769 83.58691 155.7745 26.41195 2.527989
4824.704600000001 4.491885080855157 80.39288 131.9085 24.97233 2.579285
4824.9046 3.762929991192808 77.75344 111.3267 22.57886 2.542025
4825.104600000001 3.6966505397992275 76.50642 109.4618 18.70167 2.511907
4825.3046 3.728263074183707 76.49173 110.3552 17.15415 2.42961
4825.5046 3.903861575409183 76.60897 115.3165 16.95897 2.391336
4825.704600000001 4.050109205332763 76.33826 119.4509 19.74605 2.488982
4825.9046 4.183579814987767 77.62952 123.2142 22.67184 2.583435
4826.104600000001 4.2580414170819 77.6812 125.318 21.60854 2.520739
4826.3046 4.199850138980627 76.45831 123.6815 21.23565 2.459181
4826.5046 4.01787280823191 75.75769 118.5437 19.33584 2.51003
4826.704600000001 3.889978690246094 72.14704 114.9529 15.92292 2.53053
4826.9046 3.8159610553319316 69.75504 112.8767 14.21211 2.516225
4827.104600000001 3.8576898963610704 68.86452 114.0616 13.98708 2.461401
4827.3046 4.022411301251767 74.67703 118.6789 13.01689 2.433367
4827.5046 4.111686725589451 79.26936 121.1721 12.22555 2.44392
4827.704600000001 3.9621564308012833 81.24056 116.934 14.1674 2.514111
4827.9046 3.7026263385874074 84.11822 109.5817 19.64064 2.486045
4828.104600000001 3.5436822386718942 83.11787 105.0967 26.62753 2.502398
4828.3046 3.54329048508754 80.15327 105.1047 29.31283 2.525213
4828.5046 3.5772158732155366 76.24538 106.0885 25.02838 2.520531
4828.704600000001 3.559173635749449 72.74188 105.6012 19.19043 2.55998
4828.9046 3.498579877598526 71.64504 103.896 17.84737 2.594088
4829.104600000001 3.372803285837661 70.80728 100.3472 20.73612 2.59246
4829.3046 3.200386478646434 70.81412 95.47501 21.01673 2.563547
4829.5046 3.062912618976432 73.39785 91.57366 19.46381 2.524373
4829.704600000001 3.063090327554159 72.02853 91.58749 18.77954 2.502206
4829.9046 3.1174108651474723 69.69312 93.1375 19.28429 2.529
4830.104600000001 3.157194585226339 67.3234 94.27695 17.39032 2.531034
4830.3046 3.2464249549226327 69.25847 96.78597 13.22903 2.601385
4830.5046 3.1987773566759774 76.23174 95.39469 12.52571 2.602343
4830.704600000001 3.1870256650293696 80.18833 95.03716 15.7854 2.574187
4830.9046 3.2916330555921687 82.01973 97.98137 18.92905 2.526212
4831.104600000001 3.2966404617205067 83.65655 98.11234 20.73521 2.526901
4831.3046 3.197972597921377 82.79192 95.32975 21.92928 2.525527
4831.5046 3.1618026455101584 77.44281 94.34207 22.53059 2.470516
4831.704600000001 3.1763280449782116 75.25211 94.76662 22.93861 2.459402
4831.9046 3.212776715170958 77.71375 95.78075 20.30565 2.505776
4832.104600000001 3.31360800405917 76.34818 98.63882 17.77082 2.465381
4832.3046 3.5355101303440457 76.35126 104.9093 20.80861 2.539078
4832.5046 3.7377866097809354 77.66009 110.6168 24.61639 2.49437
4832.704600000001 3.720035466576385 80.93854 110.0941 24.88817 2.505487
4832.9046 3.447298044741215 83.00594 102.3738 24.26287 2.440515
4833.104600000001 3.16919209290963 82.04912 94.52125 25.03718 2.461107
4833.3046 2.9439990173771124 81.46533 88.16151 26.6425 2.467346
4833.5046 2.6399757698332684 80.83346 79.5745 27.54228 2.439131
4833.704600000001 2.6102174909733478 81.38253 78.73006 26.4672 2.451603
4833.9046 3.00601922497694 82.02406 89.91048 24.01958 2.453201
4834.104600000001 3.3235929970529314 83.67419 98.87385 23.71842 2.4443
4834.3046 3.2895202882942347 85.04144 97.90223 23.9433 2.444651
4834.5046 3.2900242411431573 84.96848 97.91694 24.69113 2.46142
4834.704600000001 3.5841813630179655 83.86754 106.2363 24.80462 2.465567
4834.9046 3.899660397318178 82.45158 115.1602 24.32364 2.460133
4835.104600000001 3.910241039136298 81.17485 115.4674 23.86873 2.453913
4835.3046 3.7926346812910623 79.38477 112.1556 23.19985 2.434046
4835.5046 3.754709339159562 76.78979 111.1006 23.51992 2.477509
4835.704600000001 3.814372906346126 74.57767 112.8008 23.7193 2.492697
4835.9046 3.7106228596728843 74.10136 109.8721 22.21978 2.498737
4836.104600000001 3.5764869392647376 74.75327 106.0775 19.40355 2.550471
4836.3046 3.8163396657029853 74.13875 112.8592 17.71832 2.530279
4836.5046 3.942123841031591 74.10817 116.4138 19.78356 2.528665
4836.704600000001 3.8683708172321776 76.70284 114.313 23.35582 2.492818
4836.9046 3.7532047336395014 76.66277 111.0589 25.56017 2.464952
4837.104600000001 3.9524804436726457 75.01859 116.7006 24.20871 2.480267
4837.3046 4.179147065095499 75.98782 123.0995 19.834 2.518051
4837.5046 4.1164691299471885 75.74684 121.3299 18.0071 2.53755
4837.704600000001 3.76157121705864 76.12173 111.2988 18.947 2.545773
4837.9046 3.1878441806723363 76.15414 95.08624 18.36365 2.53638
4838.104600000001 2.7058611129404753 75.02322 81.47366 17.66621 2.550565
4838.3046 2.542623001018679 77.47403 76.84512 20.03966 2.568651
4838.5046 2.5207114864050193 79.35436 76.21385 21.83962 2.555026
4838.704600000001 2.5682557708502185 79.26173 77.55795 20.76914 2.537884
4838.9046 2.898096478831974 79.01038 86.88019 21.15904 2.526514
4839.104600000001 3.4492521883369207 78.40752 102.4586 22.94584 2.480068
4839.3046 3.7398629860619432 76.00822 110.6861 21.9989 2.501835
4839.5046 3.733173601018761 75.25762 110.5019 20.29933 2.575072
