Unnamed: 0,Profundidade [m],COₘₐ [%],qCO [%],rCO [%],COT [%],IH [mg HC/g COT],IO  [mg CO₂/g COT],δ¹³C [‰],of,of_class
70,1915.6,0.05483328911883917,0.3884273631021973,0.032368946925183106,0.4756295991462196,247.1554880612402,141.81835424053483,-20.109703341595853,-99.0,??
71,1916.1,0.054853783498113436,0.3203696241000795,0.026697468675006608,0.4019208762731996,254.41013986289062,138.90019093155632,-20.059165317809075,-99.0,??
72,1916.6,0.05487573917230132,0.2509582272840873,0.020913185607007282,0.32674715206339594,265.18137078322246,134.56749355011948,-19.98412977656631,-99.0,??
73,1917.1,0.05489625852348215,0.2417142413016027,0.020142853441800168,0.31675335326688503,267.0173673252729,133.82896909837336,-19.97133968829585,-99.0,??
74,1917.6,0.05491824031247871,0.21157843216211525,0.01763153601350959,0.28412820848810355,273.85587591735765,131.07819822650106,-19.923700639676834,-99.0,??
75,1918.1,0.05493951009988522,0.15889076730280838,0.013240897275233976,0.2270711746779276,290.5131102247346,124.37787251634268,-19.80766147933331,-99.0,??
76,1918.6,0.054959341288660375,0.17853728754582487,0.014878107295485388,0.24837473612997066,283.436747647858,127.22431948546836,-19.85695748829582,-99.0,??
77,1919.1,0.0549820880298295,0.26889236456016263,0.022407697046680164,0.3462821496366723,262.0433381785645,135.82975835064482,-20.005990228418987,-99.0,??
78,1919.6,0.05500194373360618,0.2674464701862691,0.022287205848855685,0.34473561976873096,262.30687999707544,135.7237493944348,-20.004154319121493,-99.0,??
79,1920.1,0.055024717259614976,0.20207167269626414,0.016839306058021974,0.2739356960139011,276.45072165259063,130.0344288183961,-19.905624186240374,-99.0,??
80,1920.6,0.05504459751683657,0.2062097128330409,0.0171841427360867,0.2784384530859641,275.3632379864679,130.47186606836465,-19.913199915150454,-99.0,??
81,1921.1,0.05506739786887835,0.2252574873662976,0.018771457280524758,0.2990963425157007,270.7154584514841,132.3414223307513,-19.945577705169434,-99.0,??
82,1921.6,0.05508875748104079,0.31683314552058395,0.026402762126715273,0.39832466512834,255.03385366299813,138.64930380746813,-20.054820345269,-99.0,??
83,1922.1,0.05510940229565898,0.26516937808040897,0.0220974481733674,0.3423762285494353,262.79067828949263,135.529142890294,-20.000784038882188,-99.0,??
84,1922.6,0.05513151532032354,0.1201193709936632,0.010009947582805271,0.18526083389679202,309.5591803915832,116.716644291925,-19.674980990530546,-99.0,??
85,1923.1,0.05515218535633408,0.10579543729837937,0.008816286441531596,0.16976390909624506,318.89979222513415,112.95940941955277,-19.609911559779967,-99.0,??
86,1923.6,0.05517432475373495,0.16342707475344387,0.013618922896120269,0.2322203224032991,289.022811352042,124.9773410516505,-19.81804333664869,-99.0,??
87,1924.1,0.05519502005161199,0.16549884593030129,0.013791570494191774,0.23448543647610506,288.26737548620633,125.28121300667202,-19.823305923579234,-99.0,??
88,1924.6,0.0552171858615084,0.11902558769545825,0.009918798974621446,0.18416157253158807,310.3264631686673,116.4080069501316,-19.669635874555357,-99.0,??
89,1925.1,0.05523863583159731,0.24468906065961,0.020390755054967458,0.3203184515461747,266.7229687936816,133.94739008074382,-19.97339055447098,-99.0,??
90,1925.6,0.05526009873253132,0.31689402915570586,0.02640783576297545,0.3985619636512127,255.15282474852543,138.60144802250318,-20.053991557931614,-99.0,??
91,1926.1,0.05528157461393685,0.1978384942230127,0.016486541185251002,0.2696066100222005,277.88089925419126,129.45914389550515,-19.895661151262946,-99.0,??
92,1926.6,0.05530306344738061,0.2610716881533266,0.021755974012777183,0.3381307256134844,263.67853607150056,135.1720045914638,-19.99459896219853,-99.0,??
93,1927.1,0.055324565284703225,0.17832637171520282,0.014860530976266884,0.2485114679761729,283.8981440859376,127.03872406430824,-19.85374326591819,-99.0,??
94,1927.6,0.05534608009530207,0.22161637725175345,0.018468031437646082,0.2954304887847016,271.8203840923919,131.8969690954199,-19.93788047036761,-99.0,??
95,1928.1,0.055367607928980864,0.11391287085620405,0.009492739238016969,0.17877321802320187,313.70795314713627,115.04781210485982,-19.64607942751433,-99.0,??
96,1928.6,0.0553891487572169,0.1515435626849504,0.01262863022374583,0.21956134166591312,294.04690703165926,122.95641267715278,-19.783044018431138,-99.0,??
97,1929.1,0.05541070263203157,0.15172707020190934,0.012643922516825723,0.21978169535076664,293.9938976261135,122.97773556163072,-19.78341329743606,-99.0,??
98,1929.6,0.05543226952273018,0.17968874724864214,0.01497406227072018,0.2500950790420925,283.5630218718146,127.1735260335847,-19.856077825162643,-99.0,??
99,1930.1,0.05545311729326045,0.1871240997854544,0.015593674982121162,0.25817089206083604,281.21736104127626,128.11706151373377,-19.8724183837574,-99.0,??
100,1930.6,0.055475442473109766,0.19396668217657886,0.01616389018138159,0.2656060148310702,279.18794270191427,128.93338934012888,-19.886555904773182,-99.0,??
101,1931.1,0.0554963158008185,0.23085331941538104,0.019237776617948343,0.30558741183414784,269.8572237120399,132.68664484392104,-19.951556419084667,-99.0,??
102,1931.6,0.055518667698321575,0.16068961883909072,0.013390801569924228,0.2295990881073365,290.46470533757,124.3973432462359,-19.80799868191805,-99.0,??
103,1932.1,0.05553956662223946,0.17294843148251715,0.014412369290209726,0.24290036739496634,285.96152188132714,126.20873614211786,-19.83936917341098,-99.0,??
104,1932.6,0.05556194527998209,0.16655223192099822,0.013879352660083166,0.2359935298610635,288.28469206875286,125.27424745998474,-19.823185291206435,-99.0,??
105,1933.1,0.05558360376577159,0.25906998775404233,0.021589165646170142,0.3362427571659841,264.2784935051192,134.93067339906435,-19.99041948344748,-99.0,??
106,1933.6,0.055603806960803935,0.18179818633950973,0.01514984886162579,0.2525518421619395,283.05747106367835,127.3768824260709,-19.859599639781113,-99.0,??
107,1934.1,0.05562696004730026,0.22343102899778253,0.01861925241648188,0.2976772414615647,271.659362178541,131.96173970795766,-19.9390021960596,-99.0,??
108,1934.6,0.05564718837410585,0.2113506181461924,0.017612551512182658,0.2846103580324809,274.62051356448376,130.77062488080315,-19.918373950449663,-99.0,??
109,1935.1,0.05567036890396506,0.193618308470386,0.016134859039198812,0.2654235364135498,279.4884858569408,128.81249670024187,-19.884462233356146,-99.0,??
110,1935.6,0.05569062240331864,0.15412489349693193,0.01284374112474429,0.22265925702499487,293.30890721199034,123.25327103158138,-19.7881851407704,-99.0,??
111,1936.1,0.05571309480442286,0.20859776673046504,0.017383147227538698,0.2816940087624266,275.3935023240532,130.45969232358306,-19.912989084933557,-99.0,??
112,1936.6,0.0557355809655554,0.2803955748746709,0.02336629790622252,0.3594974537464489,260.7628312827304,136.3448386525646,-20.01491061353603,-99.0,??
113,1937.1,0.05575660849363558,0.3149842015681035,0.026248683464008604,0.3969894935257477,255.76893514875198,138.35361934465928,-20.049699552896328,-99.0,??
114,1937.6,0.055779121635727534,0.3923460904388447,0.03269550753657036,0.4808207196111426,247.4027894317753,141.71887795890387,-20.107980568003363,-99.0,??
115,1938.1,0.0558001750168166,0.34252078572098377,0.028543398810081944,0.4268643595478823,252.43914287105784,139.69301893501267,-20.07289585865105,-99.0,??
116,1938.6,0.055822715182459084,0.33005120318428816,0.027504266932024013,0.4133781852987712,253.9176420036632,139.09829681200966,-20.06259620177224,-99.0,??
117,1939.1,0.055844531823485324,0.3840151007291741,0.032001258394097835,0.4718608909467573,248.20427463694202,141.39648278648846,-20.102397187922424,-99.0,??
118,1939.6,0.0558663616961052,0.34551446696580523,0.028792872247150436,0.4301737009090609,252.14757148320908,139.8103027067541,-20.074927030116967,-99.0,??
119,1940.1,0.0558882048511944,0.25108948361322625,0.020924123634435517,0.32790181209885616,266.03587800494853,134.22377042048143,-19.978177029628448,-99.0,??
120,1940.6,0.055910061259694784,0.3288690775849581,0.02740575646541316,0.412184895310066,254.12400440014298,139.01528811769532,-20.061158621032714,-99.0,??
121,1941.1,0.05593193097472213,0.3324888534592274,0.02770740445493558,0.4161281888888851,253.70200068953613,139.18503792488323,-20.064098422162786,-99.0,??
122,1941.6,0.0559538139650253,0.30432152057386297,0.02536012671448856,0.3856354612533768,257.3594748971339,137.71382919868094,-20.038619388357052,-99.0,??
123,1942.1,0.0559757102816621,0.27017458897673485,0.02251454908139456,0.3486648483397915,262.64742089926466,135.58676777310478,-20.001782011712987,-99.0,??
124,1942.6,0.055997619895482485,0.3384921828261307,0.028207681902177536,0.4226974846237907,253.04014329205398,139.45126820387043,-20.06870911414524,-99.0,??
125,1943.1,0.05601954285978925,0.3926126331132407,0.03271771942610335,0.4813498953991333,247.53010681464002,141.66766489927966,-20.107093637920485,-99.0,??
126,1943.6,0.056041479143235436,0.3386794292359259,0.02822328576966049,0.4229441941488218,253.04918849223782,139.44762979750442,-20.068646102638343,-99.0,??
127,1944.1,0.0777892091699302,0.2785238046340499,0.02321031705283749,0.3795233308568176,277.85359294790385,129.47012778050606,-19.895851374969663,-99.0,??
128,1944.6,0.07784152071065946,0.3392104845488584,0.02826754037907148,0.4453195456385893,267.52743413387725,133.62379615738422,-19.967786413898835,-99.0,??
129,1945.1,0.07789388695784599,0.2865891069206885,0.023882425576723987,0.3883654194552585,276.34846334802074,130.07556193416693,-19.906336547463226,-99.0,??
130,1945.6,0.07794630787605995,0.3079670442647453,0.025663920355395442,0.4115772724962007,272.5200388523301,131.61553493355714,-19.933006470916354,-99.0,??
131,1946.1,0.07799878377937611,0.3207128532585646,0.026726071104880345,0.42543770814282106,270.4502230517091,132.44811252526753,-19.947425412448766,-99.0,??
132,1946.6,0.07805131444808072,0.3455762436468825,0.028798020303906824,0.4524255783988701,266.7463634441017,133.93797964832757,-19.97322758050176,-99.0,??
133,1947.1,0.0781039001958584,0.2515905882142331,0.020965882351186068,0.35066037076127754,283.9357844736508,127.02358332408205,-19.85348105198131,-99.0,??
134,1947.6,0.07815654098839682,0.35409657110296777,0.029508047591914,0.4617611596832786,265.6304530374899,134.38685147480746,-19.98100133839052,-99.0,??
135,1948.1,0.07820923695477683,0.3927966246601376,0.032733052055011425,0.5037389136699257,260.8381391788885,136.31454626287407,-20.014385996731342,3.933326068842054,BC
136,1948.6,0.07826198806040352,0.3646325375226409,0.030386044793553387,0.4732805703765978,264.2965340332535,134.92341664729798,-19.990293807858233,-99.0,??
137,1949.1,0.07831479462097272,0.2438660566650226,0.020322171388751864,0.3425030226747472,285.9624391816687,126.20836716063214,-19.839362783228818,-99.0,??
138,1949.6,0.07836765641570688,0.2311404210098047,0.019261701750816984,0.3287697791763285,289.28694721918254,124.871093141048,-19.816203289034917,-99.0,??
139,1950.1,0.07842057376101992,0.2341164837017935,0.01950970697514948,0.3320467644379629,288.5362384531365,125.17306363345749,-19.821432945607363,-99.0,??
140,1950.6,0.07847354662233531,0.3211885771321583,0.026765714761013137,0.4264278385155068,270.68561212807066,132.35342793050637,-19.945785623377482,-99.0,??
141,1951.1,0.07852657513030331,0.3531097467085421,0.029425812225711775,0.4610621340645571,265.9930197475663,134.24101003412505,-19.978475592769772,-99.0,??
142,1951.6,0.07857965925006243,0.2770307002884982,0.023085891690708127,0.3786962512292688,278.72132298596296,129.1210858101407,-19.889806514030372,-99.0,??
143,1952.1,0.07863279930005991,0.3269902940112468,0.02724919116760388,0.4328722844789106,269.8737247828001,132.68000733455906,-19.95144146780521,-99.0,??
144,1952.6,0.07868599505807569,0.20841320668376184,0.0173677672236468,0.3044669689654843,296.15780356131216,122.10731047758458,-19.768338896539177,-99.0,??
145,1953.1,0.07873924684328422,0.30558824766140624,0.02546568730511717,0.4097931818098076,273.4646315800188,131.23557516219466,-19.92642616202684,-99.0,??
146,1953.6,0.07879255462084221,0.3668296126683819,0.030569134389031805,0.4761913016782559,264.33193434704185,134.90917697051572,-19.990047198930718,-99.0,??
147,1954.1,0.0788459185229906,0.3610656343003695,0.030088802858364124,0.4700003556817242,265.11686937872923,134.59343905889318,-19.984579112193124,-99.0,??
148,1954.6,0.07889933851459896,0.27505137728878104,0.02292094810739842,0.3768716639107784,279.3555635902881,128.86596430862568,-19.88538820869687,-99.0,??
149,1955.1,0.07895281491726894,0.28567348568792905,0.02380612380732744,0.3884324244125255,277.2698047727887,129.7049549340917,-19.899918213942364,-99.0,??
150,1955.6,0.07900634750621105,0.17712313582922426,0.01476026131910202,0.2708897446545373,307.52805646530106,117.5336581858677,-19.68913039316308,-99.0,??
151,1956.1,0.07905993660450575,0.2533871788483326,0.02111559823736097,0.3535627136901993,284.2355160261875,126.9030171490167,-19.851393034424312,-99.0,??
152,1956.6,0.07911358217667001,0.2171484472109189,0.0180957039342432,0.3143577333218321,293.83998237784124,123.03964753790207,-19.78448551601953,-99.0,??
153,1957.1,0.07916728435655611,0.15273576989766458,0.012727980824805307,0.244631035079026,318.4696275266668,113.13244196118342,-19.612908212735576,-99.0,??
154,1957.6,0.07922104310876323,0.2760743070155307,0.023006192251294244,0.37830154237558816,279.37579139813283,128.8578277297399,-19.885247295878177,-99.0,??
155,1958.1,0.079274858757335,0.1783556205078174,0.01486296837565143,0.27249344764080385,307.2777993589268,117.63432340393726,-19.690873757274886,-99.0,??
156,1958.6,0.07932873107713054,0.17169365742452491,0.014307804785377019,0.26533019328703245,310.0358613312792,116.52490072292368,-19.67166029184952,-99.0,??
157,1959.1,0.07938266039293787,0.20923145925057884,0.017435954937548237,0.306050074581065,296.4793969473841,121.97795044138931,-19.766098583063172,-99.0,??
158,1959.6,0.07943664666937578,0.14219952669267494,0.011849960557722859,0.2334861339197737,324.1522222472282,110.84663419718231,-19.573321597828294,-99.0,??
159,1960.1,0.0794906900419291,0.18992590350583605,0.01582715862548628,0.28524375217325143,303.0853687528417,119.32071683874454,-19.72007945363189,-99.0,??
160,1960.6,0.07954479047492469,0.1845714160062508,0.015380951333854196,0.2794971578150297,305.1129536674997,118.50512650228659,-19.705954704788198,-99.0,??
161,1961.1,0.07959894829525173,0.16071154927218334,0.013392629106015241,0.2537031266734503,315.0907960685975,114.49156742409221,-19.63644613974685,-99.0,??
162,1961.6,0.07965316327629066,0.15849161018811664,0.013207634182342998,0.25135240764675026,316.1690506102998,114.05784256349742,-19.628934703613645,-99.0,??
